packet_count,byte_count,unique_ips,unique_ports,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_count,udp_count,icmp_count
2,200,2,2,0,0,0,0,2,0
2,200,2,2,0,0,0,0,2,0
14,928,7,4,8,8,0,12,0,0
20,8540,2,2,4,18,4,20,0,0
22,1708,4,3,4,20,8,22,0,0
22,1318,6,5,4,20,8,22,0,0
50,36494,2,2,4,48,0,50,0,0
144,145884,5,5,4,142,0,144,0,0
72,27661,3,3,0,72,8,72,0,0
12,1882,5,6,2,8,4,10,2,0
20,2864,3,4,4,16,4,18,2,0
8,472,2,2,0,8,4,8,0,0
74,51882,3,4,4,72,4,74,0,0
84,80024,2,2,0,84,4,84,0,0
6,560,7,3,0,0,0,0,4,0
4,1442,5,2,0,0,0,0,2,0
2,1282,2,2,0,0,0,0,2,0
20,9430,2,2,4,18,4,20,0,0
8,472,2,2,0,8,4,8,0,0
2,200,2,2,0,0,0,0,2,0
16,1438,2,2,4,14,4,16,0,0
2,118,2,2,0,2,0,2,0,0
10,734,2,2,4,8,0,10,0,0
18,1206,4,3,4,16,4,18,0,0
18,1206,2,2,4,16,4,18,0,0
6,384,2,2,4,4,0,6,0,0
28,19182,2,2,2,28,4,28,0,0
22,1828,7,4,8,16,0,20,0,0
40,9172,4,4,0,40,4,40,0,0
22,1538,5,6,4,20,4,22,0,0
124,120083,5,5,8,120,8,124,0,0
140,140351,6,8,10,134,4,140,0,0
60,17760,6,8,12,54,8,60,0,0
28,2042,6,6,4,26,4,28,0,0
32,10563,4,4,0,32,4,32,0,0
42,11419,4,4,4,40,4,42,0,0
54,7538,4,6,4,50,8,52,2,0
26,1692,4,6,4,24,8,26,0,0
42,3074,2,3,8,38,4,42,0,0
66,13548,3,5,8,62,12,66,0,0
12,918,5,2,4,8,0,10,0,0
38,6144,2,4,4,36,0,38,0,0
92,29440,2,4,4,90,8,92,0,0
10,734,2,2,4,8,0,10,0,0
16,974,4,4,4,14,4,16,0,0
18,2558,2,2,4,16,4,18,0,0
18,3612,2,2,4,16,4,18,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,200,2,0,0,0,0,0,0,2
2,200,2,0,0,0,0,0,0,2
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,200,2,0,0,0,0,0,0,2
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,200,2,0,0,0,0,0,0,2
2,200,2,0,0,0,0,0,0,2
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,535,2,1,0,0,0,0,2,0
2,535,2,1,0,0,0,0,2,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,200,2,0,0,0,0,0,0,2
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
2,160,3,0,0,0,0,0,0,0
60,4608,11,15,28,38,4,52,8,0
80,6096,17,22,40,40,0,60,18,0
92,7056,20,23,44,44,0,66,24,0
128,34192,17,23,44,74,4,96,32,0
112,14496,16,24,44,58,4,80,32,0
104,8620,16,23,44,46,0,68,36,0
114,10008,18,27,40,50,4,70,44,0
146,13736,16,32,48,70,8,94,52,0
98,8066,19,27,44,56,4,78,20,0
126,11004,17,32,48,58,4,82,44,0
130,11950,18,29,48,74,8,98,32,0
134,14392,18,29,44,68,8,90,44,0
88,6872,12,23,40,40,0,60,28,0
100,16150,17,24,44,62,4,84,16,0
76,5580,18,23,40,44,0,64,12,0
102,8696,20,21,48,60,4,84,16,0
136,12784,20,33,44,64,8,86,50,0
126,11776,17,34,40,40,0,60,66,0
104,9990,15,27,44,46,0,68,36,0
136,12546,18,30,48,60,4,84,52,0
118,9682,17,29,44,56,4,78,40,0
96,8488,16,26,44,58,4,80,16,0
88,6806,16,20,44,54,4,76,12,0
106,9174,17,24,44,52,4,74,32,0
128,11592,16,31,44,54,4,76,52,0
156,33750,15,31,44,78,0,100,56,0
246,145912,18,31,44,176,4,198,48,0
132,20062,16,32,44,74,8,96,36,0
114,10204,18,29,40,40,0,60,52,0
114,10716,15,28,44,56,4,78,36,0
86,6974,17,22,40,50,4,70,16,0
90,6864,16,26,44,44,0,66,24,0
96,7500,14,23,40,40,0,60,36,0
100,8414,15,25,40,44,0,64,36,0
116,10400,15,29,40,40,0,60,56,0
108,9624,16,28,40,40,0,60,48,0
110,8982,18,28,44,56,4,78,32,0
138,12922,16,30,44,80,8,102,36,0
5010,770838,20,493,838,4560,310,4986,24,0
10880,2261696,22,697,1514,10118,418,10862,18,0
8502,2314260,22,643,168,8398,546,8480,22,0
6714,2351036,25,587,66,6670,614,6702,10,0
5340,2308488,25,476,144,5234,464,5306,32,0
5740,2323082,24,419,176,5622,504,5710,30,0
5886,2243162,22,382,236,5728,524,5846,40,0
4420,1783542,22,313,200,4276,324,4376,44,0
3088,1401890,26,281,126,2998,152,3062,26,0
2848,1346718,22,250,76,2778,128,2816,32,0
3196,1408440,20,270,152,3080,176,3156,40,0
3876,1534620,24,279,176,3742,252,3830,46,0
3868,1465870,22,263,180,3744,244,3834,34,0
3234,1423730,26,252,158,3124,224,3204,30,0
3268,1411204,26,246,168,3144,192,3228,40,0
3690,1530288,28,253,180,3554,260,3644,46,0
3646,1501560,26,237,168,3500,308,3584,62,0
2748,1330848,23,184,72,2644,148,2680,66,0
2526,1247788,24,147,72,2460,116,2496,30,0
2988,1337602,22,159,120,2890,176,2950,38,0
3048,1361978,22,157,140,2930,180,3000,48,0
2824,1309260,25,139,132,2726,168,2792,32,0
2942,1294272,24,113,108,2856,188,2910,32,0
3466,1470746,25,119,192,3328,260,3424,42,0
2770,1246814,24,91,156,2658,192,2736,34,0
2340,1075494,21,67,140,2240,164,2310,30,0
1702,908940,22,51,76,1628,80,1666,36,0
1742,887584,22,39,56,1682,52,1710,32,0
2322,1005274,25,59,88,2252,108,2296,26,0
2200,956834,18,52,96,2118,112,2166,34,0
2364,972374,19,61,148,2256,152,2330,32,0
1732,711880,16,44,84,1666,80,1708,24,0
1246,378532,18,42,56,1174,56,1202,44,0
1838,588298,16,46,116,1756,108,1814,24,0
2468,844408,23,71,172,2356,188,2442,26,0
2490,861885,23,71,196,2362,200,2460,30,0
1720,469763,21,52,124,1634,124,1696,24,0
1712,413642,23,55,144,1616,152,1688,24,0
2260,612682,22,70,196,2134,196,2232,28,0
1622,431468,20,57,140,1508,140,1578,44,0
1590,489260,20,51,136,1494,140,1562,28,0
1924,566887,23,62,136,1816,140,1884,40,0
2030,506768,20,60,132,1940,140,2006,24,0
2146,527162,24,65,160,2040,160,2120,24,0
1202,512760,27,50,84,1122,52,1164,36,0
1600,710490,24,58,102,1500,88,1552,48,0
2212,734649,22,68,168,2088,180,2172,40,0
2114,710698,24,67,172,1988,180,2074,40,0
1448,642047,20,45,80,1372,68,1412,36,0
2044,765501,21,45,88,1988,88,2032,12,0
1742,659695,21,49,80,1666,80,1706,36,0
1736,660938,21,54,100,1642,104,1692,44,0
1608,736528,19,43,56,1538,56,1566,42,0
2056,896407,20,50,84,1970,84,2012,44,0
2480,896381,21,70,168,2358,184,2442,38,0
1840,507840,20,53,120,1742,124,1802,38,0
1096,215896,17,47,92,986,80,1032,64,0
1252,315752,21,44,96,1166,84,1214,36,0
1366,369200,18,48,96,1280,100,1328,38,0
1998,607608,18,53,128,1920,136,1984,14,0
1510,409183,18,46,124,1432,124,1494,16,0
2046,525318,19,59,144,1932,148,2004,42,0
1760,454710,19,57,140,1656,140,1726,34,0
1558,429440,19,53,140,1458,144,1528,30,0
