packet_count,byte_count,unique_ips,unique_ports,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_count,udp_count,icmp_count
-0.7527734190643952,-0.7028850303510343,-0.9751465936178806,-0.4089211914694141,-0.5075075199009612,-0.7458010733899673,-0.5478869756900053,-0.7438177279440301,-0.9713798907218019,-0.12461119656980672
-0.7745916491355155,-0.7522196158746876,-0.9751465936178806,-0.43937896257823444,-0.5317080243133001,-0.7667074761200169,-0.5478869756900053,-0.7658378722265253,-0.9713798907218019,-0.12461119656980672
-0.7810563098973289,-0.753609036825811,-0.9751465936178806,-0.4546078481326446,-0.5317080243133001,-0.7733975249936327,-0.5478869756900053,-0.7723623594213388,-0.9713798907218019,-0.12461119656980672
-0.7859048054686889,-0.7741866653647138,-0.9751465936178806,-0.4850656192414649,-0.48330701548862226,-0.7800875738672486,-0.6031147935231224,-0.7772557248174489,-0.9713798907218019,-0.12461119656980672
-0.7309551889932749,-0.6709520125789832,-0.4175789487270833,-0.43937896257823444,-0.5075075199009612,-0.7248946706599178,-0.5478869756900053,-0.7234287054602382,-0.9713798907218019,-0.12461119656980672
-0.7713593187546087,-0.7628870558047857,-0.6406060066834022,-0.4089211914694141,-0.5075075199009612,-0.7650349639016129,-0.49265915785688824,-0.7625756286291187,-0.9713798907218019,-0.12461119656980672
-0.7972179618018623,-0.7766004039513372,-0.7521195356615616,-0.46983673368705475,-0.5559085287256391,-0.7884501349592684,-0.6031147935231224,-0.7886735774083723,-0.9713798907218019,-0.12461119656980672
-0.8166119440873025,-0.7794772828550017,-1.08666012259604,-0.5002945047958751,-0.6285100419626559,-0.8085202815801159,-0.6583426113562394,-0.809878160791516,-0.868649869937187,-0.12461119656980672
-0.8085311181350359,-0.7783245029417825,-0.9751465936178806,-0.5002945047958751,-0.5317080243133001,-0.8018302327065001,-0.6583426113562394,-0.8000914299992958,-0.9713798907218019,-0.12461119656980672
-0.7923694662305023,-0.7743827393675488,-0.9751465936178806,-0.4850656192414649,-0.5317080243133001,-0.7851051105224605,-0.5478869756900053,-0.7837802120122623,-0.9713798907218019,-0.12461119656980672
-0.7859048054686889,-0.7746092386466856,-1.08666012259604,-0.46983673368705475,-0.48330701548862226,-0.7800875738672486,-0.6031147935231224,-0.7772557248174489,-0.9713798907218019,-0.12461119656980672
-0.7891371358495956,-0.7743590752637584,-0.9751465936178806,-0.4546078481326446,-0.5075075199009612,-0.7817600860856525,-0.6583426113562394,-0.7805179684148555,-0.9713798907218019,-0.12461119656980672
-0.8069149529445825,-0.7772156706498883,-1.08666012259604,-0.5002945047958751,-0.5559085287256391,-0.7984852082696922,-0.6307287024396808,-0.7984603082005924,-0.9713798907218019,-0.12461119656980672
